date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:17:58	147946/147946	U-----	200	untouched ('OK')	text/html	etag:%2280c6ce158c8edb1:0%22	https://www.mscepune.in/	/home/paresh/websites/mst/www.mscepune.in/index.html	(from )
00:18:02	1524833/1524833	---M-Z	200	added ('OK')	application/javascript	etag:%22807cb142215ed91:0%22	https://www.mscepune.in/fontawesome-free-6.2.1-web/js/all.min.js	/home/paresh/websites/mst/www.mscepune.in/fontawesome-free-6.2.1-web/js/all.min.js	(from https://www.mscepune.in/)
00:18:05	1622765/1622765	---M-Z	200	added ('OK')	application/javascript	etag:%22807cb142215ed91:0%22	https://www.mscepune.in/fontawesome-free-6.2.1-web/js/all.js	/home/paresh/websites/mst/www.mscepune.in/fontawesome-free-6.2.1-web/js/all.js	(from https://www.mscepune.in/)
00:18:06	60404/60404	---M-Z	200	added ('OK')	application/javascript	etag:%2205cc952215ed91:0%22	https://www.mscepune.in/Bootstrap5.3/Scripts/bootstrap.min.js	/home/paresh/websites/mst/www.mscepune.in/Bootstrap5.3/Scripts/bootstrap.min.js	(from https://www.mscepune.in/)
00:18:09	145543/145543	---M-Z	200	added ('OK')	application/javascript	etag:%2205cc952215ed91:0%22	https://www.mscepune.in/Bootstrap5.3/Scripts/bootstrap.js	/home/paresh/websites/mst/www.mscepune.in/Bootstrap5.3/Scripts/bootstrap.js	(from https://www.mscepune.in/)
00:18:11	20126/20126	---M-Z	200	added ('OK')	application/javascript	etag:%2280bb379ff26ad91:0%22	https://www.mscepune.in/Bootstrap5.3/Scripts/poper.js	/home/paresh/websites/mst/www.mscepune.in/Bootstrap5.3/Scripts/poper.js	(from https://www.mscepune.in/)
00:18:16	103431/103431	---M--	200	added ('OK')	image/png	etag:%229517c53215ed91:0%22	https://www.mscepune.in/Assests/mscemain.png	/home/paresh/websites/mst/www.mscepune.in/Assests/mscemain.png	(from https://www.mscepune.in/)
00:18:18	25880/25880	---M--	200	added ('OK')	image/png	etag:%22ca9a7d73e61d91:0%22	https://www.mscepune.in/Assests/bg.png	/home/paresh/websites/mst/www.mscepune.in/Assests/bg.png	(from https://www.mscepune.in/)
00:18:21	11099/11099	---M--	200	added ('OK')	image/gif	etag:%225fba5c113f61d91:0%22	https://www.mscepune.in/Assests/fav-logo.gif	/home/paresh/websites/mst/www.mscepune.in/Assests/fav-logo.gif	(from https://www.mscepune.in/)
00:18:24	68109/68109	---M--	200	added ('OK')	image/png	etag:%2288243634061d91:0%22	https://www.mscepune.in/Assests/smj.png	/home/paresh/websites/mst/www.mscepune.in/Assests/smj.png	(from https://www.mscepune.in/)
00:18:26	147946/147946	U-----	200	untouched ('OK')	text/html	etag:%2280c6ce158c8edb1:0%22	https://www.mscepune.in/index.html	/home/paresh/websites/mst/www.mscepune.in/index-2.html	(from https://www.mscepune.in/)
00:18:27	3888/3888	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2011%20Mar%202025%2018:48:26%20GMT	https://www.mscepune.in/FRMUC.aspx	/home/paresh/websites/mst/www.mscepune.in/FRMUC.10.delayed	(from https://www.mscepune.in/)
