date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:00:50	147946/147946	U-----	200	untouched ('OK')	text/html	etag:%2280c6ce158c8edb1:0%22	https://www.mscepune.in/	/home/paresh/websites/mst/www.mscepune.in/index.html	(from )
00:00:53	139880/139880	---M-Z	200	added ('OK')	text/css	etag:%220e61842215ed91:0%22	https://www.mscepune.in/fontawesome-free-6.2.1-web/css/all.css	/home/paresh/websites/mst/www.mscepune.in/fontawesome-free-6.2.1-web/css/all.css	(from https://www.mscepune.in/)
00:00:56	101894/101894	---M-Z	200	added ('OK')	text/css	etag:%220e61842215ed91:0%22	https://www.mscepune.in/fontawesome-free-6.2.1-web/css/all.min.css	/home/paresh/websites/mst/www.mscepune.in/fontawesome-free-6.2.1-web/css/all.min.css	(from https://www.mscepune.in/)
00:00:58	237950/237950	---M-Z	200	added ('OK')	text/css	etag:%2280f26153215ed91:0%22	https://www.mscepune.in/Bootstrap5.3/Content/bootstrap.css	/home/paresh/websites/mst/www.mscepune.in/Bootstrap5.3/Content/bootstrap.css	(from https://www.mscepune.in/)
00:01:01	194901/194901	---M-Z	200	added ('OK')	text/css	etag:%2280f26153215ed91:0%22	https://www.mscepune.in/Bootstrap5.3/Content/bootstrap.min.css	/home/paresh/websites/mst/www.mscepune.in/Bootstrap5.3/Content/bootstrap.min.css	(from https://www.mscepune.in/)
00:01:03	531/531	---M-Z	200	added ('OK')	text/css	etag:%22844f3114668d91:0%22	https://www.mscepune.in/Bootstrap5.3/Content/CustomStyle.css	/home/paresh/websites/mst/www.mscepune.in/Bootstrap5.3/Content/CustomStyle.css	(from https://www.mscepune.in/)
00:01:06	147946/147946	U-----	200	untouched ('OK')	text/html	etag:%2280c6ce158c8edb1:0%22	https://www.mscepune.in/index.html	/home/paresh/websites/mst/www.mscepune.in/index-2.html	(from https://www.mscepune.in/)
00:01:06	3888/3888	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2011%20Mar%202025%2018:31:06%20GMT	https://www.mscepune.in/FRMUC.aspx	/home/paresh/websites/mst/www.mscepune.in/FRMUC.10.delayed	(from https://www.mscepune.in/)
00:01:07	4324/4324	U--M-Z	200	updated ('OK')	text/html	date:Tue,%2011%20Mar%202025%2018:31:06%20GMT	https://www.mscepune.in/FrmAboutUs.aspx	/home/paresh/websites/mst/www.mscepune.in/FrmAboutUs.html	(from https://www.mscepune.in/)
00:01:09	3898/3898	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2011%20Mar%202025%2018:31:09%20GMT	https://www.mscepune.in/Chairman_E.aspx	/home/paresh/websites/mst/www.mscepune.in/Chairman_E.12.delayed	(from https://www.mscepune.in/)
00:01:10	15014/15014	U--M-Z	200	updated ('OK')	text/html	date:Tue,%2011%20Mar%202025%2018:31:09%20GMT	https://www.mscepune.in/gcc/AllResult.aspx	/home/paresh/websites/mst/www.mscepune.in/gcc/AllResult.html	(from https://www.mscepune.in/)
00:01:12	3906/3906	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2011%20Mar%202025%2018:31:12%20GMT	https://www.mscepune.in/Commissioner_E.aspx	/home/paresh/websites/mst/www.mscepune.in/Commissioner_E.13.delayed	(from https://www.mscepune.in/)
00:01:23	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2011%20Mar%202025%2018:31:22%20GMT	https://www.mscepune.in/gccsec/PUP%20PSS%20BOOK%20SELLING1.pdf	/home/paresh/websites/mst/www.mscepune.in/gccsec/PUP%20PSS%20BOOK%20SELLING1.1f.delayed	(from https://www.mscepune.in/)
00:01:26	3928/3928	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2011%20Mar%202025%2018:31:25%20GMT	https://www.mscepune.in/SchollerShip_Exam_Pattern.aspx	/home/paresh/websites/mst/www.mscepune.in/SchollerShip_Exam_Pattern.20.delayed	(from https://www.mscepune.in/)
00:01:28	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2011%20Mar%202025%2018:31:27%20GMT	https://www.mscepune.in/ScholorShipLetter/ScholorshipPustakNivedan.pdf	/home/paresh/websites/mst/www.mscepune.in/ScholorShipLetter/ScholorshipPustakNivedan.21.delayed	(from https://www.mscepune.in/)
00:01:30	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2011%20Mar%202025%2018:31:30%20GMT	https://mscepune.in/gcc/00100.jpg	/home/paresh/websites/mst/mscepune.in/gcc/00100.23.delayed	(from https://www.mscepune.in/)
00:01:33	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2011%20Mar%202025%2018:31:32%20GMT	https://mscepune.in/gcc/002002.jpg	/home/paresh/websites/mst/mscepune.in/gcc/002002.24.delayed	(from https://www.mscepune.in/)
00:01:35	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2011%20Mar%202025%2018:31:35%20GMT	https://mscepune.in/gcc/MSCE%20(Pre%20Recruitment%20Certification)%20IH%20MARATHI%202023.pdf	/home/paresh/websites/mst/mscepune.in/gcc/MSCE%20(Pre%20Recruitment%20Certification)%20IH%20MARATHI%202023.25.delayed	(from https://www.mscepune.in/)
00:01:38	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2011%20Mar%202025%2018:31:37%20GMT	https://mscepune.in/gcc/MSCE%20(Pre%20Recruitment%20Certification)%20IH%20EN%202023%20(1).pdf	/home/paresh/websites/mst/mscepune.in/gcc/MSCE%20(Pre%20Recruitment%20Certification)%20IH%20EN%202023%20(1).26.delayed	(from https://www.mscepune.in/)
00:01:40	3583/3583	---M-Z	200	added ('OK')	image/svg+xml	etag:%220d299876968d91:0%22	https://www.mscepune.in/Assests/latest-updates.svg	/home/paresh/websites/mst/www.mscepune.in/Assests/latest-updates.svg	(from https://www.mscepune.in/)
00:02:16	591895/591895	---M--	200	added ('OK')	application/pdf	etag:%22891d83b82ffda1:0%22	http://www.mscepune.in/GCC/path/quotation5.9.24.pdf	/home/paresh/websites/mst/www.mscepune.in/GCC/path/quotation5.9.24.pdf	(from https://www.mscepune.in/)
